created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-02-17 18:44:31 UTC,346903,22.30,99.90,92852,0.00,21,1571.88,5.96,
2021-02-17 18:48:26 UTC,346904,22.20,99.90,92845,0.00,21,2609.38,6.03,
2021-02-17 18:50:24 UTC,346905,22.20,99.90,92838,0.00,21,2212.50,5.98,
2021-02-17 18:52:21 UTC,346906,22.30,99.90,92820,0.00,21,1465.63,5.93,
2021-02-17 18:54:19 UTC,346907,22.30,99.90,92829,0.00,21,1906.25,5.96,
2021-02-17 18:56:16 UTC,346908,22.30,99.90,92830,0.00,21,1418.75,5.93,
2021-02-17 18:58:14 UTC,346909,22.30,99.90,92820,0.00,21,1678.13,6.01,
2021-02-17 19:00:11 UTC,346910,22.30,99.90,92806,0.00,21,2531.25,6.03,
2021-02-17 19:02:09 UTC,346911,22.30,99.90,92814,0.00,21,2518.75,6.03,
2021-02-17 19:04:07 UTC,346912,22.30,99.90,92803,0.00,21,1556.25,5.96,
2021-02-17 19:06:04 UTC,346913,22.30,99.90,92802,0.00,21,1525.00,5.96,
2021-02-17 19:08:02 UTC,346914,22.40,99.90,92805,0.00,21,2684.38,5.98,
2021-02-17 19:11:57 UTC,346915,22.40,99.90,92802,0.00,21,1481.25,5.96,
2021-02-17 19:13:54 UTC,346916,22.40,99.90,92799,0.00,21,1587.50,5.93,
2021-02-17 19:15:52 UTC,346917,22.40,99.90,92789,0.00,21,2181.25,5.98,
2021-02-17 19:17:49 UTC,346918,22.40,99.90,92790,0.00,21,2075.00,5.96,
2021-02-17 19:19:47 UTC,346919,22.40,99.90,92787,0.00,21,2365.63,5.96,
2021-02-17 19:23:42 UTC,346920,22.40,99.90,92789,0.00,21,2684.38,5.96,
2021-02-17 19:25:40 UTC,346921,22.50,99.90,92786,0.00,21,1159.38,5.88,
2021-02-17 19:27:37 UTC,346922,22.40,99.90,92786,0.00,21,2181.25,5.93,
2021-02-17 19:29:35 UTC,346923,22.50,99.90,92781,0.00,21,2440.63,5.98,
2021-02-17 19:31:32 UTC,346924,22.50,99.90,92780,0.00,21,1265.63,5.86,
2021-02-17 19:33:30 UTC,346925,22.50,99.90,92777,0.00,21,1906.25,5.93,
2021-02-17 19:35:27 UTC,346926,22.50,99.90,92779,0.00,21,1800.00,5.93,
2021-02-17 19:37:25 UTC,346927,22.50,99.90,92772,0.00,21,1678.13,5.88,
2021-02-17 19:39:22 UTC,346928,22.60,99.90,92777,0.00,21,1540.63,5.88,
2021-02-17 19:41:20 UTC,346929,22.60,99.90,92774,0.00,21,2150.00,5.91,
2021-02-17 19:43:17 UTC,346930,22.60,99.90,92771,0.00,21,1250.00,5.81,
2021-02-17 19:45:15 UTC,346931,22.70,99.90,92776,0.00,21,1984.38,5.91,
2021-02-17 19:47:13 UTC,346932,22.70,99.90,92779,0.00,21,1250.00,5.81,
2021-02-17 19:49:10 UTC,346933,22.70,99.90,92773,0.00,21,2393.75,5.91,
2021-02-17 19:51:07 UTC,346934,22.80,99.90,92777,0.00,21,1356.25,5.81,
2021-02-17 19:53:05 UTC,346935,22.70,99.90,92768,0.00,21,1784.38,5.86,
2021-02-17 19:57:00 UTC,346936,22.80,99.90,92766,0.00,21,2243.75,5.93,
2021-02-17 19:58:58 UTC,346937,22.80,99.90,92767,0.00,21,2821.88,5.91,
2021-02-17 20:00:55 UTC,346938,22.70,99.90,92765,0.00,21,2562.50,5.93,
2021-02-17 20:02:53 UTC,346939,22.70,99.90,92762,0.00,21,1221.88,5.81,
2021-02-17 20:04:50 UTC,346940,22.60,99.90,92763,0.00,21,2487.50,5.91,
2021-02-17 20:06:48 UTC,346941,22.70,99.90,92773,0.00,21,2303.13,5.91,
2021-02-17 20:08:46 UTC,346942,22.70,99.90,92773,0.00,21,2271.88,5.88,
2021-02-17 20:10:43 UTC,346943,22.90,99.90,92776,0.00,21,1800.00,5.86,
2021-02-17 20:12:41 UTC,346944,22.90,99.90,92775,0.00,21,2212.50,5.91,
2021-02-17 20:14:38 UTC,346945,22.90,99.90,92784,0.00,21,2821.88,5.91,
2021-02-17 20:16:36 UTC,346946,22.80,99.90,92784,0.00,21,1250.00,5.81,
2021-02-17 20:18:33 UTC,346947,22.80,99.90,92780,0.00,21,1831.25,5.81,
2021-02-17 20:20:31 UTC,346948,22.60,99.90,92779,0.00,21,1387.50,5.83,
2021-02-17 20:22:28 UTC,346949,22.50,99.90,92782,0.00,21,3203.13,5.96,
2021-02-17 20:24:26 UTC,346950,22.50,99.90,92781,0.00,21,2334.38,5.91,
2021-02-17 20:26:23 UTC,346951,22.40,99.90,92785,0.00,21,1556.25,5.83,
2021-02-17 20:28:21 UTC,346952,22.30,99.90,92785,0.00,21,2271.88,5.91,
2021-02-17 20:30:19 UTC,346953,22.20,99.90,92786,0.00,21,2700.00,5.93,
2021-02-17 20:32:16 UTC,346954,22.30,99.90,92793,0.00,21,2518.75,5.91,
2021-02-17 20:34:13 UTC,346955,22.50,99.90,92795,0.00,21,2656.25,5.88,
2021-02-17 20:40:06 UTC,346956,22.60,99.90,92796,0.00,21,1312.50,5.81,
2021-02-17 20:42:04 UTC,346957,22.50,99.90,92805,0.00,21,2546.88,5.91,
2021-02-17 20:44:01 UTC,346958,22.40,99.90,92794,0.00,21,3037.50,5.98,
2021-02-17 20:47:56 UTC,346959,22.10,99.90,92796,0.00,21,1603.13,5.91,
2021-02-17 20:49:54 UTC,346960,22.00,99.90,92798,0.00,21,2425.00,5.96,
2021-02-17 20:51:51 UTC,346961,22.00,99.90,92791,0.00,21,2609.38,5.98,
2021-02-17 20:53:49 UTC,346962,22.00,99.90,92795,0.00,21,1509.38,5.93,
2021-02-17 20:55:47 UTC,346963,22.10,99.90,92799,0.00,21,1587.50,5.93,
2021-02-17 20:57:44 UTC,346964,22.00,99.90,92800,0.00,21,2715.63,6.03,
2021-02-17 20:59:42 UTC,346965,22.00,99.90,92800,0.00,21,1587.50,5.98,
2021-02-17 21:01:39 UTC,346966,21.90,99.90,92805,0.00,21,1175.00,5.96,
2021-02-17 21:03:37 UTC,346967,22.00,99.90,92799,0.00,21,1328.13,5.96,
2021-02-17 21:05:34 UTC,346968,22.10,99.90,92799,0.00,21,2640.63,6.01,
2021-02-17 21:07:32 UTC,346969,22.20,99.90,92793,0.00,21,1646.88,5.91,
2021-02-17 21:09:29 UTC,346970,22.20,99.90,92797,0.00,21,2503.13,5.96,
2021-02-17 21:11:27 UTC,346971,22.30,99.90,92793,0.00,21,1265.63,5.86,
2021-02-17 21:13:24 UTC,346972,22.40,99.90,92796,0.00,21,1875.00,5.93,
2021-02-17 21:17:19 UTC,346973,22.50,99.90,92801,0.00,21,1525.00,5.83,
2021-02-17 21:19:17 UTC,346974,22.60,99.90,92805,0.00,21,2090.63,5.93,
2021-02-17 21:21:15 UTC,346975,22.70,99.90,92800,0.00,21,1312.50,5.83,
2021-02-17 21:23:12 UTC,346976,22.80,99.90,92806,0.00,21,2150.00,5.93,
2021-02-17 21:25:10 UTC,346977,22.60,99.90,92804,0.00,21,2393.75,5.91,
2021-02-17 21:27:07 UTC,346978,22.40,99.90,92801,0.00,21,2134.38,5.93,
2021-02-17 21:29:05 UTC,346979,22.30,99.90,92807,0.00,21,2531.25,5.93,
2021-02-17 21:31:02 UTC,346980,22.00,99.90,92803,0.00,21,2000.00,5.91,
2021-02-17 21:46:43 UTC,346981,21.80,99.90,92822,0.00,21,1371.88,5.88,
2021-02-17 21:48:40 UTC,346982,21.70,99.90,92811,0.00,21,2287.50,5.93,
2021-02-17 21:50:38 UTC,346983,21.70,99.90,92818,0.00,21,1450.00,5.91,
2021-02-17 22:06:18 UTC,346984,21.80,99.90,92819,0.00,21,1693.75,5.91,
2021-02-17 22:08:16 UTC,346985,21.70,99.90,92821,0.00,21,1768.75,5.91,
2021-02-17 22:10:13 UTC,346986,21.60,99.90,92825,0.00,21,2609.38,5.98,
2021-02-17 22:12:11 UTC,346987,21.60,99.90,92820,0.00,21,1678.13,5.93,
2021-02-17 22:14:08 UTC,346988,21.50,99.90,92824,0.00,21,2181.25,6.01,
2021-02-17 22:16:06 UTC,346989,21.50,99.90,92824,0.00,21,1571.88,5.96,
2021-02-17 22:18:03 UTC,346990,21.30,99.90,92827,0.00,21,2668.75,6.03,
2021-02-17 22:20:01 UTC,346991,21.20,99.90,92836,0.00,21,3021.88,6.03,
2021-02-17 22:21:58 UTC,346992,21.20,99.90,92835,0.00,21,2365.63,6.03,
2021-02-17 22:23:56 UTC,346993,21.30,99.90,92834,0.00,21,2287.50,6.01,
2021-02-17 22:25:54 UTC,346994,21.30,99.90,92838,0.00,21,1725.00,5.98,
2021-02-17 22:27:51 UTC,346995,21.30,99.90,92838,0.00,21,2350.00,6.03,
2021-02-17 22:29:48 UTC,346996,21.40,99.90,92840,0.00,21,1587.50,5.96,
2021-02-17 22:31:46 UTC,346997,21.40,99.90,92842,0.00,21,2365.63,6.01,
2021-02-17 22:33:44 UTC,346998,21.40,99.90,92844,0.00,21,2531.25,6.01,
2021-02-17 22:45:29 UTC,346999,21.60,99.90,92857,6.67,21,1678.13,5.96,
2021-02-17 22:57:14 UTC,347000,21.60,99.90,92866,54.17,21,1587.50,5.93,
2021-02-17 22:59:12 UTC,347001,21.50,99.90,92867,70.00,21,1525.00,5.96,
2021-02-17 23:01:09 UTC,347002,21.40,99.90,92866,90.00,21,2393.75,5.98,
